cust_id,product_group,deposit_category,product_type,balance,active_flag,has_credit_card
1,Deposit,NIDDA,Checking,9376.33,Y,1
1,Deposit,IBB,Savings,7013.11,Y,1
1,Credit,N/A,Credit Card,1846.43,Y,1
1,Loan,N/A,Home Loan,0.0,N,1
1,Loan,N/A,Auto Loan,0.0,N,1
1,Loan,N/A,Personal Loan,0.0,N,1
2,Deposit,NIDDA,Checking,5438.26,Y,1
2,Deposit,IBB,Savings,24042.58,Y,1
2,Credit,N/A,Credit Card,336.71,Y,1
2,Loan,N/A,Home Loan,81372.6,Y,1
2,Loan,N/A,Auto Loan,0.0,N,1
2,Loan,N/A,Personal Loan,0.0,N,1
3,Deposit,NIDDA,Checking,3960.82,Y,0
3,Credit,N/A,Credit Card,0.0,N,0
3,Loan,N/A,Home Loan,0.0,N,0
3,Loan,N/A,Auto Loan,0.0,N,0
3,Loan,N/A,Personal Loan,0.0,N,0
4,Deposit,NIDDA,Checking,8332.07,Y,1
4,Credit,N/A,Credit Card,8891.83,Y,1
4,Loan,N/A,Home Loan,0.0,N,1
4,Loan,N/A,Auto Loan,2127.91,Y,1
4,Loan,N/A,Personal Loan,0.0,N,1
5,Deposit,NIDDA,Checking,5593.64,Y,1
5,Credit,N/A,Credit Card,1591.66,Y,1
5,Loan,N/A,Home Loan,0.0,N,1
5,Loan,N/A,Auto Loan,0.0,N,1
5,Loan,N/A,Personal Loan,0.0,N,1
6,Deposit,NIDDA,Checking,3112.86,Y,1
6,Credit,N/A,Credit Card,1621.92,Y,1
6,Loan,N/A,Home Loan,0.0,N,1
6,Loan,N/A,Auto Loan,0.0,N,1
6,Loan,N/A,Personal Loan,0.0,N,1
7,Deposit,NIDDA,Checking,7584.44,Y,1
7,Credit,N/A,Credit Card,9638.44,Y,1
7,Loan,N/A,Home Loan,0.0,N,1
7,Loan,N/A,Auto Loan,0.0,N,1
7,Loan,N/A,Personal Loan,0.0,N,1
8,Deposit,NIDDA,Checking,18960.05,Y,0
8,Credit,N/A,Credit Card,0.0,N,0
8,Loan,N/A,Home Loan,0.0,N,0
8,Loan,N/A,Auto Loan,0.0,N,0
8,Loan,N/A,Personal Loan,0.0,N,0
9,Deposit,NIDDA,Checking,7835.62,Y,1
9,Credit,N/A,Credit Card,8022.8,Y,1
9,Loan,N/A,Home Loan,81372.6,Y,1
9,Loan,N/A,Auto Loan,3513.34,Y,1
9,Loan,N/A,Personal Loan,0.0,N,1
10,Deposit,NIDDA,Checking,6699.3,Y,1
10,Credit,N/A,Credit Card,18862.14,Y,1
10,Loan,N/A,Home Loan,0.0,N,1
10,Loan,N/A,Auto Loan,0.0,N,1
10,Loan,N/A,Personal Loan,0.0,N,1
11,Deposit,NIDDA,Checking,3918.83,Y,0
11,Credit,N/A,Credit Card,0.0,N,0
11,Loan,N/A,Home Loan,0.0,N,0
11,Loan,N/A,Auto Loan,0.0,N,0
11,Loan,N/A,Personal Loan,0.0,N,0
12,Deposit,NIDDA,Checking,6913.96,Y,0
12,Deposit,IBB,Savings,11400.26,Y,0
12,Credit,N/A,Credit Card,0.0,N,0
12,Loan,N/A,Home Loan,0.0,N,0
12,Loan,N/A,Auto Loan,4789.31,Y,0
12,Loan,N/A,Personal Loan,0.0,N,0
13,Deposit,IBB,Money Market,52460.83,Y,1
13,Deposit,NIDDA,Checking,10944.27,Y,1
13,Credit,N/A,Credit Card,1765.45,Y,1
13,Loan,N/A,Home Loan,0.0,N,1
13,Loan,N/A,Auto Loan,0.0,N,1
13,Loan,N/A,Personal Loan,0.0,N,1
14,Deposit,IBB,Money Market,15133.27,Y,0
14,Deposit,NIDDA,Checking,5612.07,Y,0
14,Credit,N/A,Credit Card,0.0,N,0
14,Loan,N/A,Home Loan,0.0,N,0
14,Loan,N/A,Auto Loan,1807.29,Y,0
14,Loan,N/A,Personal Loan,0.0,N,0
15,Deposit,NIDDA,Checking,4257.63,Y,1
15,Credit,N/A,Credit Card,2221.04,Y,1
15,Loan,N/A,Home Loan,0.0,N,1
15,Loan,N/A,Auto Loan,0.0,N,1
15,Loan,N/A,Personal Loan,0.0,N,1
16,Deposit,NIDDA,Checking,8820.0,Y,0
16,Credit,N/A,Credit Card,0.0,N,0
16,Loan,N/A,Home Loan,0.0,N,0
16,Loan,N/A,Auto Loan,0.0,N,0
16,Loan,N/A,Personal Loan,0.0,N,0
17,Deposit,NIDDA,Checking,5686.17,Y,1
17,Credit,N/A,Credit Card,519.62,Y,1
17,Loan,N/A,Home Loan,0.0,N,1
17,Loan,N/A,Auto Loan,0.0,N,1
17,Loan,N/A,Personal Loan,0.0,N,1
18,Deposit,NIDDA,Checking,3047.78,Y,1
18,Credit,N/A,Credit Card,2810.56,Y,1
18,Loan,N/A,Home Loan,0.0,N,1
18,Loan,N/A,Auto Loan,0.0,N,1
18,Loan,N/A,Personal Loan,0.0,N,1
19,Deposit,NIDDA,Checking,19493.71,Y,1
19,Deposit,IBB,Savings,49843.54,Y,1
19,Credit,N/A,Credit Card,3647.03,Y,1
19,Loan,N/A,Home Loan,0.0,N,1
19,Loan,N/A,Auto Loan,0.0,N,1
19,Loan,N/A,Personal Loan,0.0,N,1
20,Deposit,NIDDA,Checking,3460.08,Y,0
20,Deposit,IBB,Savings,10368.25,Y,0
20,Credit,N/A,Credit Card,0.0,N,0
20,Loan,N/A,Home Loan,0.0,N,0
20,Loan,N/A,Auto Loan,0.0,N,0
20,Loan,N/A,Personal Loan,0.0,N,0
21,Deposit,NIDDA,Checking,2069.86,Y,0
21,Deposit,IBB,Savings,9125.79,Y,0
21,Credit,N/A,Credit Card,0.0,N,0
21,Loan,N/A,Home Loan,0.0,N,0
21,Loan,N/A,Auto Loan,0.0,N,0
21,Loan,N/A,Personal Loan,623.62,Y,0
22,Deposit,IBB,CD Long Term,4413.56,Y,1
22,Deposit,NIDDA,Checking,7616.02,Y,1
22,Credit,N/A,Credit Card,1176.29,Y,1
22,Loan,N/A,Home Loan,81372.6,Y,1
22,Loan,N/A,Auto Loan,0.0,N,1
22,Loan,N/A,Personal Loan,0.0,N,1
23,Deposit,NIDDA,Checking,11507.2,Y,1
23,Credit,N/A,Credit Card,2849.52,Y,1
23,Loan,N/A,Home Loan,0.0,N,1
23,Loan,N/A,Auto Loan,0.0,N,1
23,Loan,N/A,Personal Loan,0.0,N,1
24,Deposit,NIDDA,Checking,4863.36,Y,0
24,Credit,N/A,Credit Card,0.0,N,0
24,Loan,N/A,Home Loan,0.0,N,0
24,Loan,N/A,Auto Loan,0.0,N,0
24,Loan,N/A,Personal Loan,1589.46,Y,0
25,Deposit,NIDDA,Checking,6258.47,Y,0
25,Deposit,IBB,Savings,25436.27,Y,0
25,Credit,N/A,Credit Card,0.0,N,0
25,Loan,N/A,Home Loan,0.0,N,0
25,Loan,N/A,Auto Loan,1032.09,Y,0
25,Loan,N/A,Personal Loan,0.0,N,0
26,Deposit,NIDDA,Checking,1348.67,Y,0
26,Credit,N/A,Credit Card,0.0,N,0
26,Loan,N/A,Home Loan,0.0,N,0
26,Loan,N/A,Auto Loan,0.0,N,0
26,Loan,N/A,Personal Loan,0.0,N,0
27,Deposit,NIDDA,Checking,8181.35,Y,1
27,Deposit,IBB,Savings,7816.7,Y,1
27,Credit,N/A,Credit Card,975.47,Y,1
27,Loan,N/A,Home Loan,0.0,N,1
27,Loan,N/A,Auto Loan,0.0,N,1
27,Loan,N/A,Personal Loan,0.0,N,1
28,Deposit,NIDDA,Checking,7299.32,Y,0
28,Deposit,IBB,Savings,50288.87,Y,0
28,Credit,N/A,Credit Card,0.0,N,0
28,Loan,N/A,Home Loan,81372.6,Y,0
28,Loan,N/A,Auto Loan,0.0,N,0
28,Loan,N/A,Personal Loan,0.0,N,0
29,Deposit,IBB,Money Market,2355.44,Y,1
29,Deposit,NIDDA,Checking,5098.18,Y,1
29,Credit,N/A,Credit Card,3484.69,Y,1
29,Loan,N/A,Home Loan,0.0,N,1
29,Loan,N/A,Auto Loan,0.0,N,1
29,Loan,N/A,Personal Loan,0.0,N,1
30,Deposit,NIDDA,Checking,4332.43,Y,0
30,Deposit,IBB,Savings,24921.66,Y,0
30,Credit,N/A,Credit Card,0.0,N,0
30,Loan,N/A,Home Loan,0.0,N,0
30,Loan,N/A,Auto Loan,0.0,N,0
30,Loan,N/A,Personal Loan,0.0,N,0
31,Deposit,IBB,Money Market,12216.83,Y,1
31,Deposit,NIDDA,Checking,19855.72,Y,1
31,Deposit,IBB,Savings,14565.28,Y,1
31,Credit,N/A,Credit Card,5436.98,Y,1
31,Loan,N/A,Home Loan,0.0,N,1
31,Loan,N/A,Auto Loan,0.0,N,1
31,Loan,N/A,Personal Loan,2516.26,Y,1
32,Deposit,NIDDA,Checking,2760.43,Y,1
32,Deposit,IBB,Savings,2660.13,Y,1
32,Credit,N/A,Credit Card,2826.25,Y,1
32,Loan,N/A,Home Loan,0.0,N,1
32,Loan,N/A,Auto Loan,0.0,N,1
32,Loan,N/A,Personal Loan,0.0,N,1
33,Deposit,NIDDA,Checking,7199.34,Y,0
33,Deposit,IBB,Savings,1448.43,Y,0
33,Credit,N/A,Credit Card,0.0,N,0
33,Loan,N/A,Home Loan,81372.6,Y,0
33,Loan,N/A,Auto Loan,0.0,N,0
33,Loan,N/A,Personal Loan,0.0,N,0
34,Deposit,NIDDA,Checking,10530.03,Y,1
34,Credit,N/A,Credit Card,2113.04,Y,1
34,Loan,N/A,Home Loan,0.0,N,1
34,Loan,N/A,Auto Loan,1580.86,Y,1
34,Loan,N/A,Personal Loan,0.0,N,1
35,Deposit,NIDDA,Checking,1454.95,Y,1
35,Deposit,IBB,Savings,52226.18,Y,1
35,Credit,N/A,Credit Card,9290.51,Y,1
35,Loan,N/A,Home Loan,0.0,N,1
35,Loan,N/A,Auto Loan,0.0,N,1
35,Loan,N/A,Personal Loan,0.0,N,1
36,Deposit,NIDDA,Checking,6949.97,Y,1
36,Credit,N/A,Credit Card,6719.28,Y,1
36,Loan,N/A,Home Loan,0.0,N,1
36,Loan,N/A,Auto Loan,0.0,N,1
36,Loan,N/A,Personal Loan,146.99,Y,1
37,Deposit,NIDDA,Checking,2920.09,Y,0
37,Credit,N/A,Credit Card,0.0,N,0
37,Loan,N/A,Home Loan,0.0,N,0
37,Loan,N/A,Auto Loan,1636.66,Y,0
37,Loan,N/A,Personal Loan,0.0,N,0
38,Deposit,NIDDA,Checking,12659.84,Y,1
38,Deposit,IBB,Savings,18818.67,Y,1
38,Credit,N/A,Credit Card,1992.9,Y,1
38,Loan,N/A,Home Loan,63229.0,Y,1
38,Loan,N/A,Auto Loan,0.0,N,1
38,Loan,N/A,Personal Loan,0.0,N,1
39,Deposit,NIDDA,Checking,24175.93,Y,0
39,Credit,N/A,Credit Card,0.0,N,0
39,Loan,N/A,Home Loan,81372.6,Y,0
39,Loan,N/A,Auto Loan,0.0,N,0
39,Loan,N/A,Personal Loan,0.0,N,0
40,Deposit,NIDDA,Checking,1660.29,Y,0
40,Credit,N/A,Credit Card,0.0,N,0
40,Loan,N/A,Home Loan,81372.6,Y,0
40,Loan,N/A,Auto Loan,0.0,N,0
40,Loan,N/A,Personal Loan,0.0,N,0
41,Deposit,NIDDA,Checking,6890.04,Y,0
41,Deposit,IBB,Savings,11624.82,Y,0
41,Credit,N/A,Credit Card,0.0,N,0
41,Loan,N/A,Home Loan,81372.6,Y,0
41,Loan,N/A,Auto Loan,0.0,N,0
41,Loan,N/A,Personal Loan,0.0,N,0
42,Deposit,NIDDA,Checking,4055.85,Y,1
42,Deposit,IBB,Savings,32757.3,Y,1
42,Credit,N/A,Credit Card,2418.61,Y,1
42,Loan,N/A,Home Loan,0.0,N,1
42,Loan,N/A,Auto Loan,0.0,N,1
42,Loan,N/A,Personal Loan,0.0,N,1
43,Deposit,NIDDA,Checking,11476.0,Y,0
43,Credit,N/A,Credit Card,0.0,N,0
43,Loan,N/A,Home Loan,0.0,N,0
43,Loan,N/A,Auto Loan,0.0,N,0
43,Loan,N/A,Personal Loan,0.0,N,0
44,Deposit,NIDDA,Checking,6146.77,Y,0
44,Credit,N/A,Credit Card,0.0,N,0
44,Loan,N/A,Home Loan,0.0,N,0
44,Loan,N/A,Auto Loan,0.0,N,0
44,Loan,N/A,Personal Loan,0.0,N,0
45,Deposit,NIDDA,Checking,5136.42,Y,0
45,Credit,N/A,Credit Card,0.0,N,0
45,Loan,N/A,Home Loan,38191.38,Y,0
45,Loan,N/A,Auto Loan,0.0,N,0
45,Loan,N/A,Personal Loan,0.0,N,0
46,Deposit,NIDDA,Checking,3262.49,Y,1
46,Deposit,IBB,Savings,51179.14,Y,1
46,Credit,N/A,Credit Card,1043.78,Y,1
46,Loan,N/A,Home Loan,0.0,N,1
46,Loan,N/A,Auto Loan,0.0,N,1
46,Loan,N/A,Personal Loan,0.0,N,1
47,Deposit,NIDDA,Checking,3702.08,Y,1
47,Credit,N/A,Credit Card,2901.44,Y,1
47,Loan,N/A,Home Loan,0.0,N,1
47,Loan,N/A,Auto Loan,0.0,N,1
47,Loan,N/A,Personal Loan,0.0,N,1
48,Deposit,NIDDA,Checking,6110.14,Y,1
48,Credit,N/A,Credit Card,2533.1,Y,1
48,Loan,N/A,Home Loan,0.0,N,1
48,Loan,N/A,Auto Loan,0.0,N,1
48,Loan,N/A,Personal Loan,0.0,N,1
49,Deposit,NIDDA,Checking,2266.84,Y,0
49,Deposit,IBB,Savings,2430.33,Y,0
49,Credit,N/A,Credit Card,0.0,N,0
49,Loan,N/A,Home Loan,0.0,N,0
49,Loan,N/A,Auto Loan,0.0,N,0
49,Loan,N/A,Personal Loan,815.54,Y,0
50,Deposit,NIDDA,Checking,15369.57,Y,1
50,Credit,N/A,Credit Card,5582.13,Y,1
50,Loan,N/A,Home Loan,0.0,N,1
50,Loan,N/A,Auto Loan,0.0,N,1
50,Loan,N/A,Personal Loan,0.0,N,1
51,Deposit,IBB,Money Market,45646.95,Y,0
51,Deposit,NIDDA,Checking,5332.84,Y,0
51,Deposit,IBB,Savings,38838.23,Y,0
51,Credit,N/A,Credit Card,0.0,N,0
51,Loan,N/A,Home Loan,0.0,N,0
51,Loan,N/A,Auto Loan,0.0,N,0
51,Loan,N/A,Personal Loan,0.0,N,0
52,Deposit,IBB,CD Short Term,154629.74,Y,1
52,Deposit,NIDDA,Checking,15631.79,Y,1
52,Credit,N/A,Credit Card,215.76,Y,1
52,Loan,N/A,Home Loan,0.0,N,1
52,Loan,N/A,Auto Loan,0.0,N,1
52,Loan,N/A,Personal Loan,0.0,N,1
